Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_12,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR
2025-11-24 00:00:00-05:00,270.397645153795,276.48633959077114,270.397645153795,275.4083557128906,65585800,0.0,0.0,,275.4083557128906,,0.0,0.0,0.0,,,,
2025-11-25 00:00:00-05:00,274.75950033189645,279.8600396675645,274.7395483878858,276.45635986328125,46914200,0.0,0.0,,275.569587120643,,0.08360147068640345,0.01672029413728069,0.06688117654912276,,,,
2025-11-26 00:00:00-05:00,276.4464065684995,279.0116481613461,276.11703191175064,277.0353088378906,33431400,0.0,0.0,,275.79508276945035,,0.1943324389060308,0.052242723091030716,0.14208971581500007,,,,
2025-11-28 00:00:00-05:00,276.7458380127342,278.4826014787427,275.4781737009374,278.3328857421875,20135600,0.0,0.0,,276.1855139960253,,0.382383264618511,0.11827083139652678,0.26411243322198424,,,,
2025-12-01 00:00:00-05:00,277.4944549964911,282.89442609469603,275.62792768573877,282.57501220703125,46587700,0.0,0.0,,277.16851372079543,,0.8637621393423842,0.2673690929856983,0.596393046356686,,,,
2025-12-02 00:00:00-05:00,282.47518456741903,286.86701880065203,282.10587559562896,285.6592712402344,53669500,0.0,0.0,,278.4747841084014,,1.4771051448163917,0.509316303351837,0.9677888414645547,,,,
2025-12-03 00:00:00-05:00,285.6692634925469,288.0847586222564,282.77461708045536,283.623046875,43538700,0.0,0.0,,279.26682453403197,,1.7783775770088255,0.7631285580832348,1.0152490189255907,,,,
2025-12-04 00:00:00-05:00,283.5731318378766,284.20196835267484,278.07334059490756,280.179443359375,43989100,0.0,0.0,,279.4072274302386,,1.719447406374627,0.9543923277415132,0.7650550786331138,,,,
2025-12-05 00:00:00-05:00,280.01974631085085,280.6186397013617,277.53434330937836,278.26300048828125,47265800,0.0,0.0,,279.2311925160913,,1.5008035689371582,1.0636745759806423,0.43712899295651586,,,,
2025-12-08 00:00:00-05:00,277.6142094762677,279.15136205700173,275.6378704438954,277.3746643066406,38211800,0.0,0.0,,278.94557279156044,,1.241533817777679,1.0992464243400497,0.1422873934376292,,,,
